ticker,provider_symbol,company_name,sector,category,universe_tier,country,listing_exchange,exchange_symbol,reporting_currency,market_region,sec_download_eligible,global_public_download_eligible,source_sets,source_policy
000660.KS,000660.KS,SK hynix Inc.,Information Technology,memory_semiconductors,tier2_supply_chain_supplement,South Korea,KRX,000660,KRW,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
005930.KS,005930.KS,"Samsung Electronics Co., Ltd.",Information Technology,memory_foundry_electronics,tier2_supply_chain_supplement,South Korea,KRX,005930,KRW,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
1211.HK,1211.HK,BYD Company Limited,Consumer Discretionary,autos_batteries,tier2_supply_chain_supplement,China,HKEX,01211,CNY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
2308.TW,2308.TW,"Delta Electronics, Inc.",Industrials,power_thermal_components,tier2_supply_chain_supplement,Taiwan,TWSE,2308,TWD,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
2317.TW,2317.TW,"Hon Hai Precision Industry Co., Ltd.",Information Technology,electronics_manufacturing_services,tier2_supply_chain_supplement,Taiwan,TWSE,2317,TWD,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
2382.TW,2382.TW,Quanta Computer Inc.,Information Technology,server_odm,tier2_supply_chain_supplement,Taiwan,TWSE,2382,TWD,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
300750.SZ,300750.SZ,"Contemporary Amperex Technology Co., Limited",Industrials,batteries,tier2_supply_chain_supplement,China,SZSE,300750,CNY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
3231.TW,3231.TW,Wistron Corporation,Information Technology,electronics_manufacturing_services,tier2_supply_chain_supplement,Taiwan,TWSE,3231,TWD,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
373220.KS,373220.KS,"LG Energy Solution, Ltd.",Industrials,batteries,tier2_supply_chain_supplement,South Korea,KRX,373220,KRW,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
6146.T,6146.T,DISCO Corporation,Information Technology,semiconductor_manufacturing_tools,tier2_supply_chain_supplement,Japan,TSE,6146,JPY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
